"miRNA","gene","corr"
"hsa-miR-374a-3p","Empty 0",
"hsa-miR-186-5p","FAM8A1",-0.6011350408017461
"hsa-miR-99b-3p","Empty 0",
"hsa-miR-429","Empty 0",
"hsa-miR-23a-3p","PARK2",-0.6006857192054956
"hsa-miR-23a-3p","EIF4E3",-0.6199994707286368
"hsa-miR-23a-3p","TBC1D1",-0.6059827533534187
"hsa-miR-23a-3p","AQP1",-0.6167133274322981
"hsa-miR-23a-3p","SPON1",-0.6037887912180541
"hsa-miR-23a-3p","NFIB",-0.6235116798877498
"hsa-miR-23a-3p","RNF38",-0.6000058842275782
"hsa-miR-23a-3p","TGFBR3",-0.6345022953570745
"hsa-miR-23a-3p","ZNF25",-0.6101007256943708
"hsa-miR-23a-3p","LARGE",-0.6520409352779405
"hsa-miR-23a-3p","INPP5A",-0.6601057075328478
"hsa-miR-23a-3p","FAM13B",-0.6166618817153592
"hsa-miR-23a-3p","KANK1",-0.6133247628252163
"hsa-miR-23a-3p","DCHS1",-0.6071191444380067
"hsa-miR-23a-3p","FAM54B",-0.6276206711118861
"hsa-miR-23a-3p","ST8SIA1",-0.6046659902088798
"hsa-miR-23a-3p","MEIS1",-0.6047621742369237
"hsa-miR-23a-3p","PBX1",-0.6301468133064568
"hsa-miR-23a-3p","MAGI2",-0.6151225982624723
"hsa-miR-23a-3p","ADD1",-0.6199754737661666
"hsa-miR-23a-3p","ZYG11B",-0.6360468270124479
"hsa-miR-23a-3p","DENND2A",-0.6379762551702609
"hsa-miR-23a-3p","KIAA0430",-0.6060843726054873
"hsa-miR-23a-3p","C22orf39",-0.6005135387946451
"hsa-miR-23a-3p","SLC9A9",-0.607789361245876
"hsa-miR-23a-3p","ZCWPW2",-0.6164746471353122
"hsa-miR-23a-3p","SMOC2",-0.6087095632749079
"hsa-miR-23a-3p","TCEAL7",-0.6084595588616863
"hsa-miR-106b-3p","SLC9A9",-0.6367842351183987
"hsa-miR-744-3p","Empty 0",
"hsa-miR-222-5p","Empty 0",
"hsa-miR-30a-3p","Empty 0",
"hsa-miR-16-2-3p","Empty 0",
"hsa-let-7f-5p","Empty 0",
"hsa-miR-598","Empty 0",
"hsa-miR-2355-5p","Empty 0",
"hsa-miR-29b-3p","Empty 0",
"hsa-miR-139-5p","Empty 0",
"hsa-miR-19a-3p","Empty 0",
"hsa-miR-200c-3p","GYPC",-0.6067552627367201
"hsa-miR-200c-3p","BIN1",-0.6069672233733431
"hsa-miR-200c-3p","HSPA12A",-0.6127817183354786
"hsa-miR-200c-3p","CNRIP1",-0.624346282501384
"hsa-miR-200c-3p","CRTAP",-0.6147406384049723
"hsa-miR-200c-3p","ZEB2",-0.6009544454501852
"hsa-miR-335-3p","Empty 0",
"hsa-miR-203a","Empty 0",
"hsa-miR-331-3p","Empty 0",
"hsa-miR-320b","Empty 0",
"hsa-miR-576-5p","HERC1",-0.6022248614687008
"hsa-miR-3127-5p","Empty 0",
"hsa-let-7d-3p","Empty 0",
"hsa-miR-30b-5p","Empty 0",
"hsa-let-7a-3p","Empty 0",
"hsa-miR-146a-5p","Empty 0",
"hsa-miR-1287","Empty 0",
"hsa-miR-500a-3p","Empty 0",
"hsa-miR-181a-3p","Empty 0",
"hsa-miR-455-3p","Empty 0",
"hsa-miR-1976","EVC",-0.6369154492650242
"hsa-miR-1976","FAM149A",-0.6003079255488474
"hsa-miR-1976","CALCOCO1",-0.6523113858923818
"hsa-miR-1976","KANK1",-0.6471840663454651
"hsa-miR-1976","RBM24",-0.6027305323098884
"hsa-miR-1976","JMY",-0.621401217882356
"hsa-miR-1976","RNASE4",-0.6062189466595194
"hsa-miR-1976","MAGI2",-0.6052357975438498
"hsa-miR-1976","ADD1",-0.6248592772036095
"hsa-miR-1976","RNF180",-0.6209999791231953
"hsa-miR-1976","CLIP3",-0.6034102057758967
"hsa-miR-1976","RAI2",-0.6003909755727193
"hsa-miR-1976","DTWD1",-0.6000318819748458
"hsa-miR-1976","KIAA0430",-0.6139844804305852
"hsa-miR-1976","DISP1",-0.6372076192155831
"hsa-miR-1976","ZFP2",-0.6682104260033773
"hsa-miR-1976","RBM9",-0.6139010870572728
"hsa-miR-1976","EPHA7",-0.6057825657216522
"hsa-miR-1976","CC2D2A",-0.6116656104070002
"hsa-miR-1976","ZBTB4",-0.6077769726841024
"hsa-let-7i-3p","Empty 0",
"hsa-miR-9-5p","Empty 0",
"hsa-miR-22-5p","Empty 0",
"hsa-let-7d-5p","RNASE4",-0.6129730218298651
"hsa-let-7d-5p","ZFP2",-0.6158315426565446
"hsa-miR-423-3p","Empty 0",
"hsa-miR-145-3p","Empty 0",
"hsa-miR-181b-5p","Empty 0",
