"Cluster","Gene"
"HSA-MIR-320A","AQP4"
"HSA-MIR-324-3P","WNT9B"
"HSA-MIR-326","FGF1"
"HSA-MIR-328-3P","SFRP1"
"HSA-MIR-335-5P","FMN2"
"HSA-MIR-335-5P","SOX17"
"HSA-MIR-33A-5P","ROS1"
"HSA-MIR-33B-5P","G6PC"
"HSA-MIR-33B-5P","PCK1"
"HSA-MIR-34A-5P","MYCN"
"HSA-MIR-34A-5P","CDKN2C"
"HSA-MIR-34A-5P","NR4A2"
"HSA-MIR-34A-5P","SIRT7"
"HSA-MIR-34A-5P","FOS"
"HSA-MIR-34B-3P","MYCN"
"HSA-MIR-34B-5P","MYCN"
"HSA-MIR-34C-5P","MYCN"
"HSA-MIR-369-5P","FABP4"
"HSA-MIR-372-3P","NR4A2"
"HSA-MIR-373-3P","XPA"
"HSA-MIR-375","MYCN"
"HSA-MIR-383-5P","DIO1"
"HSA-MIR-422A","CYP8B1"
"HSA-MIR-4271","APOC3"
"HSA-MIR-432-5P","NES"
"HSA-MIR-449A","MYCN"
"HSA-MIR-449A","FOS"
"HSA-MIR-449A","CREB5"
"HSA-MIR-449B-5P","MYCN"
"HSA-MIR-466","PROX1"
"HSA-MIR-4728-5P","PADI2"
"HSA-MIR-486-5P","OLFM4"
"HSA-MIR-487B-3P","GRM3"
"HSA-MIR-489-3P","PROX1"
"HSA-MIR-490-5P","FOS"
"HSA-MIR-491-3P","IGFBP2"
"HSA-MIR-491-5P","TAF10"
"HSA-MIR-494-3P","SLC26A3"
"HSA-MIR-506-3P","WNK1"
"HSA-MIR-509-3-5P","PODXL"
"HSA-MIR-513A-5P","GNG13"
"HSA-MIR-513B-5P","GNG13"
"HSA-MIR-513C-5P","GNG13"
"HSA-MIR-520A-3P","HOXD8"
"HSA-MIR-520C-3P","GPC3"
"HSA-MIR-548A-3P","ECHS1"
"HSA-MIR-582-3P","SFRP1"
"HSA-MIR-590-5P","BTG2"
"HSA-MIR-590-5P","CREB5"
"HSA-MIR-644A","GAPDH"
"HSA-MIR-663A","EEF1A2"
"HSA-MIR-663B","EEF1A2"
"HSA-MIR-670-5P","PROX1"
"HSA-MIR-7-5P","FOS"
"HSA-MIR-744-5P","SFRP1"
"HSA-MIR-744-5P","EEF1A2"
"HSA-MIR-874-3P","AQP3"
"HSA-MIR-9-5P","GDNF"
"HSA-MIR-9-5P","NOX4"
"HSA-MIR-921","ANGPTL1"
"HSA-MIR-96-5P","GDNF"
"HSA-MIR-96-5P","SYCP1"
"HSA-MIR-99A-5P","NOX4"
"HSA-LET-7A-3P","CCND2"
"HSA-LET-7A-5P","CCND2"
"HSA-LET-7A-5P","VDR"
"HSA-LET-7A-5P","UHRF1"
"HSA-LET-7B-5P","CCNA2"
"HSA-LET-7B-5P","CCND2"
"HSA-LET-7E-5P","MYCN"
"HSA-MIR-1-3P","KCNE1"
"HSA-MIR-101-3P","MYCN"
"HSA-MIR-103A-3P","MYCN"
"HSA-MIR-106B-5P","CCND2"
"HSA-MIR-107","CHGA"
"HSA-MIR-10A-5P","CHL1"
"HSA-MIR-10B-3P","CCNA2"
"HSA-MIR-10B-5P","KL"
"HSA-MIR-122-5P","TPD52L2"
"HSA-MIR-122-5P","PDK4"
"HSA-MIR-124-3P","CCND2"
"HSA-MIR-124-3P","SYCP1"
"HSA-MIR-124-3P","UHRF1"
"HSA-MIR-124-3P","SPHK1"
"HSA-MIR-124-5P","ACHE"
"HSA-MIR-1256","SELE"
"HSA-MIR-1258","MRGPRF"
"HSA-MIR-125A-5P","HK2"
"HSA-MIR-125A-5P","SIRT7"
"HSA-MIR-125B-5P","BBC3"
"HSA-MIR-125B-5P","HK2"
"HSA-MIR-125B-5P","VDR"
"HSA-MIR-125B-5P","SIRT7"
"HSA-MIR-125B-5P","SPHK1"
"HSA-MIR-125B-5P","NEU1"
"HSA-MIR-125B-5P","PODXL"
"HSA-MIR-125B-5P","PTH1R"
"HSA-MIR-126-3P","HOXA9"
"HSA-MIR-1260B","SFRP1"
"HSA-MIR-127-3P","SFRP1"
"HSA-MIR-128-3P","NEK2"
"HSA-MIR-129-1-3P","AURKA"
"HSA-MIR-130A-3P","MEOX2"
"HSA-MIR-130B-3P","CCNA2"
"HSA-MIR-130B-3P","LDLR"
"HSA-MIR-132-3P","CCNA2"
"HSA-MIR-132-3P","MUC13"
"HSA-MIR-133A-3P","PRDM16"
"HSA-MIR-133B","PRDM16"
"HSA-MIR-135A-5P","HTR1A"
"HSA-MIR-135A-5P","SLC6A4"
"HSA-MIR-135B-5P","CASR"
"HSA-MIR-137","NR1I3"
"HSA-MIR-138-5P","S100A1"
"HSA-MIR-140-3P","ATP8A1"
"HSA-MIR-141-3P","YWHAG"
"HSA-MIR-141-5P","WNK1"
"HSA-MIR-142-3P","HOXA9"
"HSA-MIR-142-3P","LGR5"
"HSA-MIR-143-3P","HK2"
"HSA-MIR-145-5P","HOXA9"
"HSA-MIR-145-5P","DDC"
"HSA-MIR-145-5P","ARF6"
"HSA-MIR-145-5P","ITGB8"
"HSA-MIR-145-5P","PODXL"
"HSA-MIR-146A-5P","CCNA2"
"HSA-MIR-146A-5P","CCND2"
"HSA-MIR-146A-5P","UHRF1"
"HSA-MIR-146B-5P","UHRF1"
"HSA-MIR-147A","SLC22A3"
"HSA-MIR-148A-3P","USP4"
"HSA-MIR-148A-3P","ITGB8"
"HSA-MIR-149-5P","BBC3"
"HSA-MIR-150-5P","SRCIN1"
"HSA-MIR-151A-5P","SOX17"
"HSA-MIR-154-5P","CCND2"
"HSA-MIR-155-5P","NKX3-1"
"HSA-MIR-155-5P","CCND2"
"HSA-MIR-155-5P","GATM"
"HSA-MIR-155-5P","CIAPIN1"
"HSA-MIR-155-5P","SELE"
"HSA-MIR-155-5P","PCDH9"
"HSA-MIR-15A-5P","CCND2"
"HSA-MIR-16-1-3P","CCND2"
"HSA-MIR-16-5P","CCND2"
"HSA-MIR-16-5P","SLC6A4"
"HSA-MIR-17-3P","SELE"
"HSA-MIR-17-5P","CCND2"
"HSA-MIR-17-5P","LDLR"
"HSA-MIR-17-5P","SELE"
"HSA-MIR-17-5P","ITGB8"
"HSA-MIR-17-5P","PTPRO"
"HSA-MIR-181A-5P","PROX1"
"HSA-MIR-181B-3P","YWHAG"
"HSA-MIR-181B-3P","NFASC"
"HSA-MIR-181B-5P","HK2"
"HSA-MIR-182-3P","NOX4"
"HSA-MIR-182-5P","CCND2"
"HSA-MIR-182-5P","CHL1"
"HSA-MIR-182-5P","SATB2"
"HSA-MIR-182-5P","CREB5"
"HSA-MIR-182-5P","PDK4"
"HSA-MIR-183-5P","EZR"
"HSA-MIR-184","EZR"
"HSA-MIR-184","SND1"
"HSA-MIR-185-5P","AQP3"
"HSA-MIR-18B-5P","FOXN1"
"HSA-MIR-191-5P","CCND2"
"HSA-MIR-192-5P","HRH1"
"HSA-MIR-192-5P","WNK1"
"HSA-MIR-194-5P","BMP1"
"HSA-MIR-196B-5P","HOXA9"
"HSA-MIR-197-3P","CD82"
"HSA-MIR-197-5P","IGFBP5"
"HSA-MIR-198","CCND2"
"HSA-MIR-199A-5P","HK2"
"HSA-MIR-199A-5P","CTSC"
"HSA-MIR-199A-5P","LDLR"
"HSA-MIR-199A-5P","KL"
"HSA-MIR-199A-5P","WNK1"
