"Cluster","Gene"
"HSA-MIR-218-2-3P","SLIT3"
"HSA-MIR-219A-5P","CAMK2G"
"HSA-MIR-22-3P","CXCR2"
"HSA-MIR-22-3P","TCEAL1"
"HSA-MIR-221-3P","SSX2IP"
"HSA-MIR-221-3P","TCEAL1"
"HSA-MIR-221-3P","ZEB2"
"HSA-MIR-222-3P","SSX2IP"
"HSA-MIR-222-3P","TCEAL1"
"HSA-MIR-222-3P","ABCG2"
"HSA-MIR-223-3P","SEMA3A"
"HSA-MIR-223-3P","SLC2A4"
"HSA-MIR-224-5P","TCEAL1"
"HSA-MIR-224-5P","EYA4"
"HSA-MIR-23A-3P","HOXB4"
"HSA-MIR-23B-3P","TAB3"
"HSA-MIR-24-1-5P","SLITRK1"
"HSA-MIR-24-3P","JPH2"
"HSA-MIR-24-3P","GATA3"
"HSA-MIR-24-3P","CHEK1"
"HSA-MIR-25-3P","TCEAL1"
"HSA-MIR-25-3P","CPEB1"
"HSA-MIR-26A-5P","CCND2"
"HSA-MIR-26A-5P","TRPC6"
"HSA-MIR-26A-5P","PLAG1"
"HSA-MIR-26A-5P","AMACR"
"HSA-MIR-26A-5P","ITGA5"
"HSA-MIR-26A-5P","CHEK1"
"HSA-MIR-26A-5P","DUSP4"
"HSA-MIR-26A-5P","PTGS2"
"HSA-MIR-26B-5P","PTGS2"
"HSA-MIR-27A-3P","PLAG1"
"HSA-MIR-27A-3P","GATA3"
"HSA-MIR-27A-5P","SNAP25"
"HSA-MIR-27B-3P","EYA4"
"HSA-MIR-296-5P","FGFR1"
"HSA-MIR-29A-3P","LPL"
"HSA-MIR-29A-3P","CCND2"
"HSA-MIR-29A-3P","ITIH5"
"HSA-MIR-29A-3P","CLDN1"
"HSA-MIR-29B-3P","CCND2"
"HSA-MIR-29B-3P","TGFB3"
"HSA-MIR-29B-3P","NID1"
"HSA-MIR-29B-3P","DUSP2"
"HSA-MIR-29B-3P","GATA3"
"HSA-MIR-29C-3P","CCND2"
"HSA-MIR-300","ROS1"
"HSA-MIR-302B-3P","CCND2"
"HSA-MIR-302D-3P","CCND2"
"HSA-MIR-30A-5P","ITGB3"
"HSA-MIR-30A-5P","ERG"
"HSA-MIR-30A-5P","TAB3"
"HSA-MIR-30B-5P","ERG"
"HSA-MIR-30C-5P","MTTP"
"HSA-MIR-30C-5P","CCND2"
"HSA-MIR-30E-5P","MTTP"
"HSA-MIR-31-5P","DMD"
"HSA-MIR-31-5P","SGPP2"
"HSA-MIR-31-5P","JAZF1"
"HSA-MIR-31-5P","ITGA5"
"HSA-MIR-320A","HSPB6"
